step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),keep_prob=0.1,keep_prob=0.2,keep_prob=0.3,keep_prob=0.4,keep_prob=0.5,keep_prob=0.6,keep_prob=0.7,keep_prob=0.8,keep_prob=0.9,keep_prob=1.0
20,20,20,20,20,20,20,20,20,20,0.140625,0.078125,0.046875,0.125,0.109375,0.15625,0.140625,0.140625,0.109375,0.171875
40,40,40,40,40,40,40,40,40,40,0.125,0.109375,0.125,0.21875,0.109375,0.09375,0.140625,0.234375,0.234375,0.109375
60,60,60,60,60,60,60,60,60,60,0.109375,0.09375,0.09375,0.046875,0.15625,0.171875,0.1875,0.09375,0.1875,0.125
80,80,80,80,80,80,80,80,80,80,0.0625,0.125,0.140625,0.078125,0.1875,0.203125,0.203125,0.15625,0.375,0.140625
100,100,100,100,100,100,100,100,100,100,0.125,0.09375,0.109375,0.109375,0.046875,0.109375,0.1875,0.296875,0.359375,0.359375
120,120,120,120,120,120,120,120,120,120,0.046875,0.109375,0.140625,0.125,0.28125,0.171875,0.265625,0.390625,0.484375,0.34375
140,140,140,140,140,140,140,140,140,140,0.109375,0.15625,0.09375,0.078125,0.140625,0.25,0.421875,0.5625,0.578125,0.453125
160,160,160,160,160,160,160,160,160,160,0.078125,0.046875,0.171875,0.09375,0.109375,0.421875,0.390625,0.515625,0.484375,0.609375
180,180,180,180,180,180,180,180,180,180,0.09375,0.046875,0.109375,0.078125,0.15625,0.375,0.421875,0.40625,0.640625,0.59375
200,200,200,200,200,200,200,200,200,200,0.15625,0.0625,0.140625,0.21875,0.140625,0.375,0.40625,0.46875,0.578125,0.625
220,220,220,220,220,220,220,220,220,220,0.078125,0.125,0.15625,0.140625,0.09375,0.390625,0.453125,0.640625,0.5625,0.609375
240,240,240,240,240,240,240,240,240,240,0.078125,0.0625,0.140625,0.28125,0.1875,0.515625,0.609375,0.53125,0.734375,0.609375
260,260,260,260,260,260,260,260,260,260,0.09375,0.09375,0.09375,0.203125,0.25,0.3125,0.40625,0.546875,0.734375,0.65625
280,280,280,280,280,280,280,280,280,280,0.03125,0.078125,0.09375,0.1875,0.5,0.46875,0.609375,0.546875,0.578125,0.59375
300,300,300,300,300,300,300,300,300,300,0.078125,0.109375,0.109375,0.234375,0.109375,0.390625,0.546875,0.53125,0.671875,0.65625
320,320,320,320,320,320,320,320,320,320,0.125,0.125,0.25,0.25,0.390625,0.390625,0.578125,0.5,0.703125,0.703125
340,340,340,340,340,340,340,340,340,340,0.109375,0.140625,0.078125,0.328125,0.3125,0.53125,0.46875,0.59375,0.640625,0.65625
360,360,360,360,360,360,360,360,360,360,0.109375,0.09375,0.171875,0.328125,0.375,0.5,0.53125,0.640625,0.640625,0.71875
