step(s),step(s),step(s),keep_prob=0.5,keep_prob=0.8,keep_prob=1.0
1000,1000,1000,0.71875,0.765625,0.71875
2000,2000,2000,0.640625,0.859375,0.796875
3000,3000,3000,0.796875,0.84375,0.8125
4000,4000,4000,0.71875,0.796875,0.84375
5000,5000,5000,0.71875,0.828125,0.859375
6000,6000,6000,0.609375,0.8125,0.875
7000,7000,7000,0.796875,0.90625,0.90625
8000,8000,8000,0.828125,0.84375,0.90625
9000,9000,9000,0.921875,0.796875,0.90625
10000,10000,10000,0.828125,0.84375,0.90625
11000,11000,11000,0.90625,0.765625,0.890625
12000,12000,12000,0.703125,0.8125,0.875
13000,13000,13000,0.75,0.890625,0.875
14000,14000,14000,0.796875,0.921875,0.890625
15000,15000,15000,0.734375,0.828125,0.890625
16000,16000,16000,0.828125,0.859375,0.921875
17000,17000,17000,0.8125,0.859375,0.890625
18000,18000,18000,0.84375,0.84375,0.875
19000,19000,19000,0.828125,0.84375,0.859375
20000,20000,20000,0.796875,0.921875,0.875
21000,21000,21000,0.765625,0.921875,0.921875
22000,22000,22000,0.859375,0.828125,0.921875
23000,23000,23000,0.71875,0.890625,0.921875
24000,24000,24000,0.796875,0.90625,0.96875
25000,25000,25000,0.8125,0.90625,0.96875
26000,26000,26000,0.828125,0.875,0.921875
27000,27000,27000,0.859375,0.796875,0.96875
28000,28000,28000,0.90625,0.875,0.96875
29000,29000,29000,0.8125,0.953125,0.90625
30000,30000,30000,0.75,0.8125,0.9375
31000,31000,31000,0.875,0.921875,0.9375
32000,32000,32000,0.734375,0.984375,0.921875
33000,33000,33000,0.84375,0.859375,1.0
34000,34000,34000,0.84375,0.921875,0.984375
35000,35000,35000,0.8125,0.90625,0.921875
36000,36000,36000,0.8125,0.828125,0.953125
37000,37000,37000,0.828125,0.859375,0.953125
38000,38000,38000,0.78125,0.90625,0.859375
39000,39000,39000,0.859375,0.9375,0.953125
40000,40000,40000,0.8125,0.96875,0.953125
41000,41000,41000,0.765625,0.859375,0.984375
42000,42000,42000,0.8125,0.90625,0.9375
43000,43000,43000,0.828125,0.96875,0.875
44000,44000,44000,0.734375,0.828125,0.9375
45000,45000,45000,0.828125,0.890625,0.921875
46000,46000,46000,0.796875,0.875,0.953125
47000,47000,47000,0.875,0.890625,0.96875
48000,48000,48000,0.90625,0.859375,0.96875
49000,49000,49000,0.90625,0.96875,0.96875
50000,50000,50000,0.8125,0.953125,0.953125
51000,51000,51000,0.765625,0.890625,0.890625
52000,52000,52000,0.8125,0.84375,1.0
53000,53000,53000,0.765625,0.9375,1.0
54000,54000,54000,0.90625,0.90625,0.9375
55000,55000,55000,0.875,0.890625,0.984375
56000,56000,56000,0.875,0.9375,1.0
57000,57000,57000,0.8125,0.9375,0.984375
58000,58000,58000,0.875,0.90625,0.984375
59000,59000,59000,0.796875,0.9375,0.953125
60000,60000,60000,0.8125,0.921875,1.0
61000,61000,61000,0.90625,0.875,0.984375
62000,62000,62000,0.953125,0.875,1.0
63000,63000,63000,0.90625,0.953125,0.953125
64000,64000,64000,0.875,0.90625,0.9375
65000,65000,65000,0.78125,0.84375,0.9375
66000,66000,66000,0.921875,0.9375,0.96875
67000,67000,67000,0.90625,0.921875,0.953125
68000,68000,68000,0.765625,0.9375,1.0
69000,69000,69000,0.828125,0.9375,0.921875
70000,70000,70000,0.90625,0.90625,0.984375
71000,71000,71000,0.875,0.90625,0.984375
72000,72000,72000,0.859375,0.890625,1.0
73000,73000,73000,0.890625,0.953125,0.984375
74000,74000,74000,0.828125,0.84375,0.984375
75000,75000,75000,0.84375,0.953125,1.0
76000,76000,76000,0.90625,0.921875,1.0
77000,77000,77000,0.921875,0.96875,0.984375
78000,78000,78000,0.828125,0.9375,0.984375
79000,79000,79000,0.9375,0.921875,1.0
80000,80000,80000,0.90625,0.921875,0.96875
81000,81000,81000,0.8125,0.96875,0.96875
82000,82000,82000,0.828125,0.90625,1.0
83000,83000,83000,0.921875,0.953125,0.984375
84000,84000,84000,0.921875,0.9375,1.0
85000,85000,85000,0.921875,0.859375,1.0
86000,86000,86000,0.890625,0.9375,1.0
87000,87000,87000,0.953125,0.9375,1.0
88000,88000,88000,0.90625,0.9375,1.0
89000,89000,89000,0.828125,0.90625,0.984375
90000,90000,90000,0.84375,0.9375,1.0
