epoch(s),keep_prob=1.0
1,0.828125
2,0.8125
3,0.890625
4,0.765625
5,0.875
6,0.859375
7,0.875
8,0.890625
9,0.84375
10,0.859375
11,0.90625
12,0.953125
13,0.96875
14,0.9375
15,0.9375
16,1.0
17,0.953125
18,0.921875
19,0.953125
20,0.875
21,0.96875
22,0.984375
23,0.953125
24,0.9375
25,0.96875
26,0.953125
27,0.921875
28,0.984375
29,1.0
30,1.0
31,0.9375
32,0.96875
33,1.0
34,0.984375
35,0.984375
36,1.0
37,1.0
38,0.96875
39,0.96875
40,1.0
41,0.953125
42,0.96875
43,0.984375
44,1.0
45,1.0
46,1.0
47,0.984375
48,1.0
49,0.984375
50,1.0
51,0.984375
52,1.0
53,0.984375
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,0.984375
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,0.984375
83,1.0
